libboost-iostreams1.74-dev:arm64	1.74.0-14ubuntu3
libboost-iostreams1.74.0:arm64	1.74.0-14ubuntu3
libboost-locale-dev:arm64	1.74.0.3ubuntu7
libboost-locale1.74-dev:arm64	1.74.0-14ubuntu3
libboost-locale1.74.0:arm64	1.74.0-14ubuntu3
libboost-log-dev	1.74.0.3ubuntu7
libboost-log1.74-dev	1.74.0-14ubuntu3
libboost-log1.74.0	1.74.0-14ubuntu3
libboost-math-dev:arm64	1.74.0.3ubuntu7
libboost-math1.74-dev:arm64	1.74.0-14ubuntu3
libboost-math1.74.0:arm64	1.74.0-14ubuntu3
libboost-mpi-dev	1.74.0.3ubuntu7
libboost-mpi-python-dev	1.74.0.3ubuntu7
libboost-mpi-python1.74-dev	1.74.0-14ubuntu3
libboost-mpi-python1.74.0	1.74.0-14ubuntu3
libboost-mpi1.74-dev	1.74.0-14ubuntu3
libboost-mpi1.74.0	1.74.0-14ubuntu3
libboost-nowide-dev	1.74.0.3ubuntu7
libboost-nowide1.74-dev	1.74.0-14ubuntu3
libboost-nowide1.74.0	1.74.0-14ubuntu3
libboost-numpy-dev	1.74.0.3ubuntu7
libboost-numpy1.74-dev	1.74.0-14ubuntu3
libboost-numpy1.74.0	1.74.0-14ubuntu3
libboost-program-options-dev:arm64	1.74.0.3ubuntu7
libboost-program-options1.74-dev:arm64	1.74.0-14ubuntu3
libboost-program-options1.74.0:arm64	1.74.0-14ubuntu3
libboost-python-dev	1.74.0.3ubuntu7
libboost-python1.74-dev	1.74.0-14ubuntu3
libboost-python1.74.0	1.74.0-14ubuntu3
libboost-random-dev:arm64	1.74.0.3ubuntu7
libboost-random1.74-dev:arm64	1.74.0-14ubuntu3
libboost-random1.74.0:arm64	1.74.0-14ubuntu3
libboost-regex-dev:arm64	1.74.0.3ubuntu7
libboost-regex1.74-dev:arm64	1.74.0-14ubuntu3
libboost-regex1.74.0:arm64	1.74.0-14ubuntu3
libboost-serialization-dev:arm64	1.74.0.3ubuntu7
libboost-serialization1.74-dev:arm64	1.74.0-14ubuntu3
libboost-serialization1.74.0:arm64	1.74.0-14ubuntu3
libboost-stacktrace-dev:arm64	1.74.0.3ubuntu7
libboost-stacktrace1.74-dev:arm64	1.74.0-14ubuntu3
libboost-stacktrace1.74.0:arm64	1.74.0-14ubuntu3
libboost-system-dev:arm64	1.74.0.3ubuntu7
libboost-system1.74-dev:arm64	1.74.0-14ubuntu3
libboost-system1.74.0:arm64	1.74.0-14ubuntu3
libboost-test-dev:arm64	1.74.0.3ubuntu7
libboost-test1.74-dev:arm64	1.74.0-14ubuntu3
libboost-test1.74.0:arm64	1.74.0-14ubuntu3
libboost-thread-dev:arm64	1.74.0.3ubuntu7
libboost-thread1.74-dev:arm64	1.74.0-14ubuntu3
libboost-thread1.74.0:arm64	1.74.0-14ubuntu3
libboost-timer-dev:arm64	1.74.0.3ubuntu7
libboost-timer1.74-dev:arm64	1.74.0-14ubuntu3
libboost-timer1.74.0:arm64	1.74.0-14ubuntu3
libboost-tools-dev	1.74.0.3ubuntu7
libboost-type-erasure-dev:arm64	1.74.0.3ubuntu7
libboost-type-erasure1.74-dev:arm64	1.74.0-14ubuntu3
libboost-type-erasure1.74.0:arm64	1.74.0-14ubuntu3
libboost-wave-dev:arm64	1.74.0.3ubuntu7
libboost-wave1.74-dev:arm64	1.74.0-14ubuntu3
libboost-wave1.74.0:arm64	1.74.0-14ubuntu3
libboost1.74-dev:arm64	1.74.0-14ubuntu3
libboost1.74-tools-dev	1.74.0-14ubuntu3
libbpf0:arm64	1:0.5.0-1ubuntu22.04.1
libbrlapi0.8:arm64	6.4-4ubuntu3
libbrotli-dev:arm64	1.0.9-2build6
libbrotli1:arm64	1.0.9-2build6
libbs2b0:arm64	3.1.0+dfsg-2.2build1
libbsd-dev:arm64	0.11.5-1
libbsd0:arm64	0.11.5-1
libbtf1:arm64	1:5.10.1+dfsg-4build1
libbullet-dev:arm64	3.06+dfsg-4build2
libbullet3.06:arm64	3.06+dfsg-4build2
libbz2-1.0:arm64	1.0.8-5build1
libbz2-dev:arm64	1.0.8-5build1
libc-ares2:arm64	1.18.1-1ubuntu0.22.04.3
libc-bin	2.35-0ubuntu3.10
libc-dev-bin	2.35-0ubuntu3.10
libc6:arm64	2.35-0ubuntu3.10
libc6-dbg:arm64	2.35-0ubuntu3.10
libc6-dev:arm64	2.35-0ubuntu3.10
libcaca0:arm64	0.99.beta19-2.2ubuntu4
libcaf-openmpi-3:arm64	2.9.2-3
libcairo-gobject-perl:arm64	1.005-3build1
libcairo-gobject2:arm64	1.16.0-5ubuntu2
libcairo-perl:arm64	1.109-2build1
libcairo-script-interpreter2:arm64	1.16.0-5ubuntu2
libcairo2:arm64	1.16.0-5ubuntu2
libcairomm-1.0-1v5:arm64	1.12.2-4build3
libcamd2:arm64	1:5.10.1+dfsg-4build1
libcamel-1.2-63:arm64	3.44.4-0ubuntu1.1
libcanberra-gtk3-0:arm64	0.30-10ubuntu1.22.04.1
libcanberra-gtk3-module:arm64	0.30-10ubuntu1.22.04.1
libcanberra-pulse:arm64	0.30-10ubuntu1.22.04.1
libcanberra0:arm64	0.30-10ubuntu1.22.04.1
libcap-dev:arm64	1:2.44-1ubuntu0.22.04.2
libcap-ng0:arm64	0.7.9-2.2build3
libcap2:arm64	1:2.44-1ubuntu0.22.04.2
libcap2-bin	1:2.44-1ubuntu0.22.04.2
libcbor0.8:arm64	0.8.0-2ubuntu1
libcc1-0:arm64	12.3.0-1ubuntu1~22.04.2
libccolamd2:arm64	1:5.10.1+dfsg-4build1
libcdio-cdda2:arm64	10.2+2.0.0-1build3
libcdio-paranoia2:arm64	10.2+2.0.0-1build3
libcdio19:arm64	2.1.0-3ubuntu0.2
libcdparanoia0:arm64	3.10.2+debian-14build2
libcdr-0.1-1:arm64	0.1.6-2build2
libcdt5:arm64	2.42.2-6ubuntu0.1
libceres-dev	2.0.0+dfsg1-5
libceres2	2.0.0+dfsg1-5
libcfitsio-dev:arm64	4.0.0-1
libcfitsio-doc	4.0.0-1
libcfitsio9:arm64	4.0.0-1
libcgraph6:arm64	2.42.2-6ubuntu0.1
libcharls-dev:arm64	2.3.4-1
libcharls2:arm64	2.3.4-1
libcheese-gtk25:arm64	41.1-1build1
libcheese8:arm64	41.1-1build1
libcholmod3:arm64	1:5.10.1+dfsg-4build1
libchromaprint1:arm64	1.5.1-2
libclang1-14	1:14.0.0-1ubuntu1.1
libclone-perl	0.45-1build3
libclucene-contribs1v5:arm64	2.3.3.4+dfsg-1ubuntu5
libclucene-core1v5:arm64	2.3.3.4+dfsg-1ubuntu5
libclutter-1.0-0:arm64	1.26.4+dfsg-4build1
libclutter-1.0-common	1.26.4+dfsg-4build1
libclutter-gst-3.0-0:arm64	3.0.27-2ubuntu1
libclutter-gtk-1.0-0:arm64	1.8.4-4build2
libcoarrays-dev:arm64	2.9.2-3
libcoarrays-openmpi-dev:arm64	2.9.2-3
libcodec2-1.0:arm64	1.0.1-3
libcogl-common	1.22.8-3build1
libcogl-pango20:arm64	1.22.8-3build1
libcogl-path20:arm64	1.22.8-3build1
libcogl20:arm64	1.22.8-3build1
libcolamd2:arm64	1:5.10.1+dfsg-4build1
libcollection4:arm64	0.6.2-1
libcolord-gtk1:arm64	0.3.0-1
libcolord2:arm64	1.4.6-1
libcolorhug2:arm64	1.4.6-1
libcom-err2:arm64	1.46.5-2ubuntu1.2
libconsole-bridge-dev:arm64	1.0.1+dfsg2-3
libconsole-bridge1.0:arm64	1.0.1+dfsg2-3
libcrack2:arm64	2.9.6-3.4build4
libcrypt-dev:arm64	1:4.4.27-1
libcrypt1:arm64	1:4.4.27-1
libcryptsetup12:arm64	2:2.4.3-1ubuntu1.3
libctf-nobfd0:arm64	2.38-4ubuntu2.8
libctf0:arm64	2.38-4ubuntu2.8
libcue2:arm64	2.2.1-3ubuntu0.1
libcups2:arm64	2.4.1op1-1ubuntu4.11
libcupsfilters1:arm64	1.28.15-0ubuntu1.4
libcurl3-gnutls:arm64	7.81.0-1ubuntu1.20
libcurl4:arm64	7.81.0-1ubuntu1.21
libcurl4-openssl-dev:arm64	7.81.0-1ubuntu1.21
libcwidget4:arm64	0.5.18-5build1
libcxsparse3:arm64	1:5.10.1+dfsg-4build1
libdaemon0:arm64	0.14-7.1ubuntu3
libdata-dump-perl	1.25-1
libdatrie1:arm64	0.2.13-2
libdav1d-dev:arm64	0.9.2-1
libdav1d5:arm64	0.9.2-1
libdaxctl1:arm64	72.1-1
libdazzle-1.0-0:arm64	3.44.0-1
libdazzle-common	3.44.0-1
libdb5.3:arm64	5.3.28+dfsg1-0.8ubuntu3
libdbus-1-3:arm64	1.12.20-2ubuntu4.1
libdbus-1-dev:arm64	1.12.20-2ubuntu4.1
libdbus-glib-1-2:arm64	0.112-2build1
libdbusmenu-glib4:arm64	16.04.1+18.10.20180917-0ubuntu8
libdbusmenu-gtk3-4:arm64	16.04.1+18.10.20180917-0ubuntu8
libdc1394-25:arm64	2.2.6-4
libdc1394-dev:arm64	2.2.6-4
libdca0:arm64	0.0.7-2
libdconf1:arm64	0.40.0-3
libde265-0:arm64	1.0.8-1ubuntu0.3
libde265-dev:arm64	1.0.8-1ubuntu0.3
libdebconfclient0:arm64	0.261ubuntu1
libdebuginfod-common	0.186-1ubuntu0.1
libdebuginfod1:arm64	0.186-1ubuntu0.1
libdecor-0-0:arm64	0.1.0-3build1
libdecor-0-dev:arm64	0.1.0-3build1
libdee-1.0-4:arm64	1.2.7+17.10.20170616-6ubuntu4
libdeflate-dev:arm64	1.10-2
libdeflate0:arm64	1.10-2
libdevmapper-event1.02.1:arm64	2:1.02.175-2.1ubuntu5
libdevmapper1.02.1:arm64	2:1.02.175-2.1ubuntu5
libdhash1:arm64	0.6.2-1
libdjvulibre-text	3.5.28-2ubuntu0.22.04.1
libdjvulibre21:arm64	3.5.28-2ubuntu0.22.04.1
libdmapsharing-3.0-2:arm64	2.9.41-3build2
libdns-export1110	1:9.11.19+dfsg-2.1ubuntu3
libdotconf0:arm64	1.3-0.3fakesync1build2
libdouble-conversion-dev:arm64	3.1.7-4
libdouble-conversion3:arm64	3.1.7-4
libdpkg-perl	1.21.1ubuntu2.3
libdraco-dev:arm64	1.5.2+dfsg-2
libdraco4:arm64	1.5.2+dfsg-2
libdrm-amdgpu1:arm64	2.4.113-2~ubuntu0.22.04.1
libdrm-common	2.4.113-2~ubuntu0.22.04.1
libdrm-dev:arm64	2.4.113-2~ubuntu0.22.04.1
libdrm-etnaviv1:arm64	2.4.113-2~ubuntu0.22.04.1
libdrm-freedreno1:arm64	2.4.113-2~ubuntu0.22.04.1
libdrm-nouveau2:arm64	2.4.113-2~ubuntu0.22.04.1
libdrm-radeon1:arm64	2.4.113-2~ubuntu0.22.04.1
libdrm-tegra0:arm64	2.4.113-2~ubuntu0.22.04.1
libdrm2:arm64	2.4.113-2~ubuntu0.22.04.1
libdv4:arm64	1.0.0-14build1
libdvdnav4:arm64	6.1.1-1
libdvdread8:arm64	6.1.2-1
libdw-dev:arm64	0.186-1ubuntu0.1
libdw1:arm64	0.186-1ubuntu0.1
libe-book-0.1-1:arm64	0.1.3-2build2
libebackend-1.2-10:arm64	3.44.4-0ubuntu1.1
libebook-1.2-20:arm64	3.44.4-0ubuntu1.1
libebook-contacts-1.2-3:arm64	3.44.4-0ubuntu1.1
libecal-2.0-1:arm64	3.44.4-0ubuntu1.1
libedata-book-1.2-26:arm64	3.44.4-0ubuntu1.1
libedata-cal-2.0-1:arm64	3.44.4-0ubuntu1.1
libedataserver-1.2-26:arm64	3.44.4-0ubuntu1.1
libedataserverui-1.2-3:arm64	3.44.4-0ubuntu1.1
libedit2:arm64	3.1-20210910-1build1
libefiboot1:arm64	37-6ubuntu2
libefivar1:arm64	37-6ubuntu2
libegl-dev:arm64	1.4.0-1
libegl-mesa0:arm64	23.2.1-1ubuntu3.1~22.04.3
libegl1:arm64	1.4.0-1
libegl1-mesa:arm64	23.0.4-0ubuntu1~22.04.1
libegl1-mesa-dev:arm64	23.2.1-1ubuntu3.1~22.04.3
libeigen3-dev	3.4.0-2ubuntu2
libelf-dev:arm64	0.186-1ubuntu0.1
libelf1:arm64	0.186-1ubuntu0.1
libenchant-2-2:arm64	2.3.2-1ubuntu2
libencode-locale-perl	1.05-1.1
libeot0:arm64	0.01-5build2
libepoxy0:arm64	1.5.10-1
libepubgen-0.1-1:arm64	0.1.1-1ubuntu5
liberror-perl	0.17029-1
libespeak-ng1:arm64	1.50+dfsg-10ubuntu0.1
libestr0:arm64	0.1.10-2.1build3
libetonyek-0.1-1:arm64	0.1.10-3build1
libevdev2:arm64	1.12.1+dfsg-1
libevdocument3-4:arm64	42.3-0ubuntu3.1
libevent-2.1-7:arm64	2.1.12-stable-1build3
libevent-core-2.1-7:arm64	2.1.12-stable-1build3
libevent-dev	2.1.12-stable-1build3
libevent-extra-2.1-7:arm64	2.1.12-stable-1build3
libevent-openssl-2.1-7:arm64	2.1.12-stable-1build3
libevent-pthreads-2.1-7:arm64	2.1.12-stable-1build3
libevview3-3:arm64	42.3-0ubuntu3.1
libexempi8:arm64	2.5.2-1ubuntu0.22.04.1
libexif-dev:arm64	0.6.24-1build1
libexif12:arm64	0.6.24-1build1
libexiv2-27:arm64	0.27.5-3ubuntu1
libexpat1:arm64	2.4.7-1ubuntu0.6
libexpat1-dev:arm64	2.4.7-1ubuntu0.6
libext2fs2:arm64	1.46.5-2ubuntu1.2
libexttextcat-2.0-0:arm64	3.4.5-1build2
libexttextcat-data	3.4.5-1build2
libextutils-depends-perl	0.8001-1
libfaad2:arm64	2.10.0-2
libfabric1:arm64	1.11.0-3
libfakechroot:arm64	2.20.1+ds-2
libfakeroot:arm64	1.28-1ubuntu1
libfastjson4:arm64	0.99.9-1build2
libfdisk1:arm64	2.37.2-4ubuntu3.4
libfdt1:arm64	1.6.1-1
libffi-dev:arm64	3.4.2-4
libffi7:arm64	3.3-5ubuntu1
libffi8:arm64	3.4.2-4
libfftw3-single3:arm64	3.3.8-2ubuntu8
libfido2-1:arm64	1.10.0-1
libfile-basedir-perl	0.09-1
libfile-desktopentry-perl	0.22-2
libfile-listing-perl	6.14-1
libfile-mimeinfo-perl	0.31-1
libflac8:arm64	1.3.3-2ubuntu0.2
libflann-dev:arm64	1.9.1+dfsg-11
libflann1.9:arm64	1.9.1+dfsg-11
libflite1:arm64	2.2-3
libfluidsynth3:arm64	2.2.5-1
libfmt-dev:arm64	8.1.1+ds1-2
libfmt8:arm64	8.1.1+ds1-2
libfont-afm-perl	1.20-3
libfontconfig-dev:arm64	2.13.1-4.2ubuntu5
libfontconfig1:arm64	2.13.1-4.2ubuntu5
libfontconfig1-dev:arm64	2.13.1-4.2ubuntu5
libfontenc1:arm64	1:1.1.4-1build3
libfprint-2-2:arm64	1:1.94.3+tod1-0ubuntu2~22.04.08
libfreeaptx0:arm64	0.1.1-1
libfreehand-0.1-1	0.1.2-3build2
libfreerdp-client2-2:arm64	2.6.1+dfsg1-3ubuntu2.7
libfreerdp-server2-2:arm64	2.6.1+dfsg1-3ubuntu2.7
libfreerdp2-2:arm64	2.6.1+dfsg1-3ubuntu2.7
libfreetype-dev:arm64	2.11.1+dfsg-1ubuntu0.3
libfreetype6:arm64	2.11.1+dfsg-1ubuntu0.3
libfreetype6-dev:arm64	2.11.1+dfsg-1ubuntu0.3
libfreexl-dev:arm64	1.0.6-1
libfreexl1:arm64	1.0.6-1
libfribidi0:arm64	1.0.8-2ubuntu3.1
libfuse3-3:arm64	3.10.5-1build1
libfwupd2:arm64	1.7.9-1~22.04.3
libfwupdplugin5:arm64	1.7.9-1~22.04.3
libfyba-dev:arm64	4.1.1-7
libfyba0:arm64	4.1.1-7
libgail-common:arm64	2.24.33-2ubuntu2.1
libgail18:arm64	2.24.33-2ubuntu2.1
libgamemode0:arm64	1.6.1-1build2
libgamemodeauto0:arm64	1.6.1-1build2
libgbm-dev:arm64	23.2.1-1ubuntu3.1~22.04.3
libgbm1:arm64	23.2.1-1ubuntu3.1~22.04.3
libgc1:arm64	1:8.0.6-1.1build1
libgcab-1.0-0:arm64	1.4-3build2
libgcc-11-dev:arm64	11.4.0-1ubuntu1~22.04.2
libgcc-s1:arm64	12.3.0-1ubuntu1~22.04.2
libgck-1-0:arm64	3.40.0-4
libgcr-base-3-1:arm64	3.40.0-4
libgcr-ui-3-1:arm64	3.40.0-4
libgcrypt20:arm64	1.9.4-3ubuntu3
libgd3:arm64	2.3.0-2ubuntu2.3
libgdal-dev	3.4.1+dfsg-1build4
libgdal30	3.4.1+dfsg-1build4
libgdata-common	0.18.1-2build1
libgdata22:arm64	0.18.1-2build1
libgdbm-compat4:arm64	1.23-1
libgdbm6:arm64	1.23-1
libgdcm-dev	3.0.10-1build2
libgdcm3.0:arm64	3.0.10-1build2
libgdk-pixbuf-2.0-0:arm64	2.42.8+dfsg-1ubuntu0.4
libgdk-pixbuf2.0-bin	2.42.8+dfsg-1ubuntu0.4
libgdk-pixbuf2.0-common	2.42.8+dfsg-1ubuntu0.4
libgdm1	42.0-1ubuntu7.22.04.4
libgee-0.8-2:arm64	0.20.5-2
libgeoclue-2-0:arm64	2.5.7-3ubuntu3
libgeocode-glib0:arm64	3.26.2-2build2
libgeographic-dev	1.52-1
libgeographic19:arm64	1.52-1
libgeos-c1v5:arm64	3.10.2-1
libgeos-dev	3.10.2-1
libgeos3.10.2:arm64	3.10.2-1
libgeotiff-dev:arm64	1.7.0-2build1
libgeotiff5:arm64	1.7.0-2build1
libgexiv2-2:arm64	0.14.0-1build1
libgfapi0:arm64	10.1-1ubuntu0.2
libgflags-dev	2.2.2-2
libgflags2.2	2.2.2-2
libgfortran-11-dev:arm64	11.4.0-1ubuntu1~22.04.2
libgfortran5:arm64	12.3.0-1ubuntu1~22.04.2
libgfrpc0:arm64	10.1-1ubuntu0.2
libgfxdr0:arm64	10.1-1ubuntu0.2
libgif-dev	5.1.9-2ubuntu0.1
libgif7:arm64	5.1.9-2ubuntu0.1
libgirepository-1.0-1:arm64	1.72.0-1
libgjs0g:arm64	1.72.4-0ubuntu0.22.04.4
libgl-dev:arm64	1.4.0-1
libgl1:arm64	1.4.0-1
libgl1-mesa-dev:arm64	23.2.1-1ubuntu3.1~22.04.3
libgl1-mesa-dri:arm64	23.2.1-1ubuntu3.1~22.04.3
libgl2ps-dev	1.4.2+dfsg1-2
libgl2ps1.4	1.4.2+dfsg1-2
libglapi-mesa:arm64	23.2.1-1ubuntu3.1~22.04.3
libgles-dev:arm64	1.4.0-1
libgles1:arm64	1.4.0-1
libgles2:arm64	1.4.0-1
libgles2-mesa:arm64	23.0.4-0ubuntu1~22.04.1
libglew-dev:arm64	2.2.0-4
libglew2.2:arm64	2.2.0-4
libglib-object-introspection-perl	0.049-1+build2
libglib-perl:arm64	3:1.329.3-2build1
libglib2.0-0:arm64	2.72.4-0ubuntu2.6
libglib2.0-bin	2.72.4-0ubuntu2.6
libglib2.0-cil	2.12.40-3ubuntu1
libglib2.0-cil-dev	2.12.40-3ubuntu1
libglib2.0-data	2.72.4-0ubuntu2.6
libglib2.0-dev:arm64	2.72.4-0ubuntu2.6
libglib2.0-dev-bin	2.72.4-0ubuntu2.6
libglib2.0-doc	2.72.4-0ubuntu2.6
libglib2.0-tests	2.72.4-0ubuntu2.6
libglibmm-2.4-1v5:arm64	2.66.2-2
libglu1-mesa:arm64	9.0.2-1
libglu1-mesa-dev:arm64	9.0.2-1
libglusterfs0:arm64	10.1-1ubuntu0.2
libglvnd-core-dev:arm64	1.4.0-1
libglvnd-dev:arm64	1.4.0-1
libglvnd0:arm64	1.4.0-1
libglx-dev:arm64	1.4.0-1
libglx-mesa0:arm64	23.2.1-1ubuntu3.1~22.04.3
libglx0:arm64	1.4.0-1
libgme0:arm64	0.6.3-2
libgmp10:arm64	2:6.2.1+dfsg-3ubuntu1
libgnome-autoar-0-0:arm64	0.4.3-1
libgnome-bg-4-1:arm64	42.9-0ubuntu1
libgnome-bluetooth-3.0-13:arm64	42.0-5
libgnome-bluetooth13:arm64	3.34.5-8
libgnome-desktop-3-19:arm64	42.9-0ubuntu1
libgnome-desktop-4-1:arm64	42.9-0ubuntu1
libgnome-games-support-1-3:arm64	1.8.2-1build1
libgnome-games-support-common	1.8.2-1build1
libgnome-menu-3-0:arm64	3.36.0-1ubuntu3
libgnome-todo	3.28.1-6ubuntu1
libgnomekbd-common	3.26.1-2
libgnomekbd8:arm64	3.26.1-2
libgnutls30:arm64	3.7.3-4ubuntu1.7
libgoa-1.0-0b:arm64	3.44.0-1ubuntu1
libgoa-1.0-common	3.44.0-1ubuntu1
libgoa-backend-1.0-1:arm64	3.44.0-1ubuntu1
libgom-1.0-0:arm64	0.4-1build2
libgomp1:arm64	12.3.0-1ubuntu1~22.04.2
libgoogle-glog-dev	0.5.0+really0.4.0-2
libgoogle-glog0v5	0.5.0+really0.4.0-2
libgpg-error0:arm64	1.43-3
libgpgme11:arm64	1.16.0-1.2ubuntu4.2
libgpgmepp6:arm64	1.16.0-1.2ubuntu4.2
libgphoto2-6:arm64	2.5.27-1build2
libgphoto2-dev:arm64	2.5.27-1build2
libgphoto2-port12:arm64	2.5.27-1build2
libgpiod2:arm64	1.6.3-1build1
libgpm2:arm64	1.20.7-10build1
libgpod-common	0.8.3-16build2
libgpod4:arm64	0.8.3-16build2
libgraphblas-dev:arm64	6.1.4+dfsg-2
libgraphblas6:arm64	6.1.4+dfsg-2
libgraphene-1.0-0:arm64	1.10.8-1
libgraphics-magick-perl	1.4+really1.3.38-1ubuntu0.1
libgraphicsmagick++-q16-12	1.4+really1.3.38-1ubuntu0.1
libgraphicsmagick++1-dev	1.4+really1.3.38-1ubuntu0.1
libgraphicsmagick-q16-3	1.4+really1.3.38-1ubuntu0.1
libgraphicsmagick1-dev	1.4+really1.3.38-1ubuntu0.1
libgraphite2-3:arm64	1.3.14-1build2
libgrilo-0.3-0:arm64	0.3.14-1build1
libgs9:arm64	9.55.0~dfsg1-0ubuntu5.12
libgs9-common	9.55.0~dfsg1-0ubuntu5.12
libgsf-1-114:arm64	1.14.47-1ubuntu0.1
libgsf-1-common	1.14.47-1ubuntu0.1
libgsm1:arm64	1.0.19-1
libgsound0:arm64	1.0.3-2build1
libgspell-1-2:arm64	1.9.1-4
libgspell-1-common	1.9.1-4
libgssapi-krb5-2:arm64	1.19.2-2ubuntu0.7
libgssdp-1.2-0:arm64	1.4.0.1-2build1
libgssrpc4:arm64	1.19.2-2ubuntu0.7
libgstreamer-gl1.0-0:arm64	1.20.1-1ubuntu0.5
libgstreamer-opencv1.0-0:arm64	1.20.3-0ubuntu1.1
libgstreamer-plugins-bad1.0-0:arm64	1.20.3-0ubuntu1.1
libgstreamer-plugins-bad1.0-dev:arm64	1.20.3-0ubuntu1.1
libgstreamer-plugins-base1.0-0:arm64	1.20.1-1ubuntu0.5
libgstreamer-plugins-base1.0-dev:arm64	1.20.1-1ubuntu0.5
libgstreamer-plugins-good1.0-0:arm64	1.20.3-0ubuntu1.4
libgstreamer-plugins-good1.0-dev	1.20.3-0ubuntu1.4
libgstreamer1.0-0:arm64	1.20.3-0ubuntu1.1
libgstreamer1.0-dev:arm64	1.20.3-0ubuntu1.1
libgtest-dev:arm64	1.11.0-3
libgtk-3-0:arm64	3.24.33-1ubuntu2.2
libgtk-3-common	3.24.33-1ubuntu2.2
libgtk-4-1:arm64	4.6.9+ds-0ubuntu0.22.04.2
libgtk-4-bin	4.6.9+ds-0ubuntu0.22.04.2
libgtk-4-common	4.6.9+ds-0ubuntu0.22.04.2
libgtk2.0-0:arm64	2.24.33-2ubuntu2.1
libgtk2.0-bin	2.24.33-2ubuntu2.1
libgtk2.0-common	2.24.33-2ubuntu2.1
libgtk3-perl	0.038-1
libgtkmm-3.0-1v5:arm64	3.24.5-1build1
libgtksourceview-4-0:arm64	4.8.3-1
libgtksourceview-4-common	4.8.3-1
libgtop-2.0-11:arm64	2.40.0-2build3
libgtop2-common	2.40.0-2build3
libgts-0.7-5:arm64	0.7.6+darcs121130-5
libgts-bin	0.7.6+darcs121130-5
libgudev-1.0-0:arm64	1:237-2build1
libgudev-1.0-dev:arm64	1:237-2build1
libgupnp-1.2-1:arm64	1.4.3-1
libgupnp-av-1.0-3	0.14.0-3
libgupnp-dlna-2.0-4	0.12.0-3
libgupnp-igd-1.0-4:arm64	1.2.0-1build1
libgusb2:arm64	0.3.10-1
libgvc6	2.42.2-6ubuntu0.1
libgvpr2:arm64	2.42.2-6ubuntu0.1
libgweather-3-16:arm64	40.0-5build1
libgweather-common	40.0-5build1
libgxps2:arm64	0.3.2-2
libhandy-1-0:arm64	1.6.1-1
libharfbuzz-icu0:arm64	2.7.4-1ubuntu3.2
libharfbuzz0b:arm64	2.7.4-1ubuntu3.2
libhavege2:arm64	1.9.14-1ubuntu1
libhdf4-0-alt	4.2.15-4
libhdf4-alt-dev	4.2.15-4
libhdf5-103-1:arm64	1.10.7+repack-4ubuntu2
libhdf5-cpp-103-1:arm64	1.10.7+repack-4ubuntu2
libhdf5-dev	1.10.7+repack-4ubuntu2
libhdf5-fortran-102:arm64	1.10.7+repack-4ubuntu2
libhdf5-hl-100:arm64	1.10.7+repack-4ubuntu2
libhdf5-hl-cpp-100:arm64	1.10.7+repack-4ubuntu2
libhdf5-hl-fortran-100:arm64	1.10.7+repack-4ubuntu2
libhdf5-mpi-dev	1.10.7+repack-4ubuntu2
libhdf5-openmpi-103-1:arm64	1.10.7+repack-4ubuntu2
libhdf5-openmpi-cpp-103-1:arm64	1.10.7+repack-4ubuntu2
libhdf5-openmpi-dev	1.10.7+repack-4ubuntu2
libhdf5-openmpi-fortran-102:arm64	1.10.7+repack-4ubuntu2
libhdf5-openmpi-hl-100:arm64	1.10.7+repack-4ubuntu2
libhdf5-openmpi-hl-cpp-100:arm64	1.10.7+repack-4ubuntu2
libhdf5-openmpi-hl-fortran-100:arm64	1.10.7+repack-4ubuntu2
libheif-dev:arm64	1.12.0-2build1
libheif1:arm64	1.12.0-2build1
libhogweed6:arm64	3.7.3-1build2
libhtml-form-perl	6.07-1
libhtml-format-perl	2.12-1.1
libhtml-parser-perl:arm64	3.76-1build2
libhtml-tagset-perl	3.20-4
libhtml-tree-perl	5.07-2
libhttp-cookies-perl	6.10-1
libhttp-daemon-perl	6.13-1ubuntu0.1
libhttp-date-perl	6.05-1
libhttp-message-perl	6.36-1
libhttp-negotiate-perl	6.01-1
libhunspell-1.7-0:arm64	1.7.0-4build1
libhwasan0:arm64	12.3.0-1ubuntu1~22.04.2
libhwloc-dev:arm64	2.7.0-2ubuntu1
libhwloc-plugins:arm64	2.7.0-2ubuntu1
libhwloc15:arm64	2.7.0-2ubuntu1
libhyphen0:arm64	2.8.8-7build2
libi2c0:arm64	4.3-2build1
libibus-1.0-5:arm64	1.5.26-4
libibus-1.0-dev:arm64	1.5.26-4
libibverbs-dev:arm64	39.0-1
libibverbs1:arm64	39.0-1
libical3:arm64	3.0.14-1build1
libice-dev:arm64	2:1.0.10-1build2
libice6:arm64	2:1.0.10-1build2
libicu-dev:arm64	70.1-2
libicu70:arm64	70.1-2
libidn12:arm64	1.38-4ubuntu1
libidn2-0:arm64	2.3.2-2build1
libiec61883-0:arm64	1.2.0-4build3
libieee1284-3:arm64	0.2.11-14build2
libignition-cmake2-dev:arm64	2.17.1-1~jammy
libignition-math6:arm64	6.15.1-1~jammy
libignition-math6-dev:arm64	6.15.1-1~jammy
libijs-0.35:arm64	0.35-15build2
libilmbase-dev:arm64	2.5.7-2
libilmbase25:arm64	2.5.7-2
libimagequant0:arm64	2.17.0-1
libimobiledevice6:arm64	1.3.0-6build3
libini-config5:arm64	0.6.2-1
libinih1:arm64	53-1ubuntu3
